ts,unix_ts,connection,source_ip,metric,endpoint,latency_ms,ok,error,mbps,time
2026-05-10T02:20:28.435466+00:00,1778379628.4354749,Peanut Butter,,tcp_ping,google_meet,115.94741699991573,True,,,2026-05-10 02:20:28.435466+00:00
2026-05-10T02:20:28.859523+00:00,1778379628.859533,Peanut Butter,,tcp_ping,google_static,38.86745799991331,True,,,2026-05-10 02:20:28.859523+00:00
2026-05-10T02:20:29.358834+00:00,1778379629.358849,Peanut Butter,,tcp_ping,cloudflare,36.406583999905706,True,,,2026-05-10 02:20:29.358834+00:00
2026-05-10T02:20:29.849698+00:00,1778379629.849709,Peanut Butter,,tcp_ping,google_dns,26.72266700005821,True,,,2026-05-10 02:20:29.849698+00:00
2026-05-10T02:20:30.720670+00:00,1778379630.720691,Peanut Butter,,tcp_ping,google_meet,29.670499999838285,True,,,2026-05-10 02:20:30.720670+00:00
2026-05-10T02:20:31.222277+00:00,1778379631.222294,Peanut Butter,,tcp_ping,google_static,30.262041000014506,True,,,2026-05-10 02:20:31.222277+00:00
2026-05-10T02:20:31.726889+00:00,1778379631.726902,Peanut Butter,,tcp_ping,cloudflare,33.791707999853315,True,,,2026-05-10 02:20:31.726889+00:00
2026-05-10T02:20:32.230001+00:00,1778379632.230031,Peanut Butter,,tcp_ping,google_dns,35.426624999900014,True,,,2026-05-10 02:20:32.230001+00:00
2026-05-10T02:20:33.152492+00:00,1778379633.1525,Peanut Butter,,tcp_ping,google_meet,111.02470899982109,True,,,2026-05-10 02:20:33.152492+00:00
2026-05-10T02:20:33.569098+00:00,1778379633.569122,Peanut Butter,,tcp_ping,google_static,26.917249999996784,True,,,2026-05-10 02:20:33.569098+00:00
2026-05-10T02:20:34.081114+00:00,1778379634.0811388,Peanut Butter,,tcp_ping,cloudflare,37.77933299988945,True,,,2026-05-10 02:20:34.081114+00:00
2026-05-10T02:20:34.568794+00:00,1778379634.5688078,Peanut Butter,,tcp_ping,google_dns,24.36004200012576,True,,,2026-05-10 02:20:34.568794+00:00
2026-05-10T02:20:35.422914+00:00,1778379635.422922,Peanut Butter,,tcp_ping,google_meet,33.77100000011524,True,,,2026-05-10 02:20:35.422914+00:00
2026-05-10T02:20:35.928450+00:00,1778379635.928483,Peanut Butter,,tcp_ping,google_static,37.75725000014063,True,,,2026-05-10 02:20:35.928450+00:00
2026-05-10T02:20:36.428724+00:00,1778379636.428735,Peanut Butter,,tcp_ping,cloudflare,36.82291599989185,True,,,2026-05-10 02:20:36.428724+00:00
2026-05-10T02:20:36.920188+00:00,1778379636.920207,Peanut Butter,,tcp_ping,google_dns,27.03241600011097,True,,,2026-05-10 02:20:36.920188+00:00
2026-05-10T02:20:37.768542+00:00,1778379637.76855,Peanut Butter,,tcp_ping,google_meet,25.956082999982755,True,,,2026-05-10 02:20:37.768542+00:00
2026-05-10T02:20:38.273755+00:00,1778379638.273768,Peanut Butter,,tcp_ping,google_static,29.934416999822133,True,,,2026-05-10 02:20:38.273755+00:00
2026-05-10T02:20:38.780785+00:00,1778379638.78085,Peanut Butter,,tcp_ping,cloudflare,35.77858299991021,True,,,2026-05-10 02:20:38.780785+00:00
2026-05-10T02:20:39.277486+00:00,1778379639.277496,Peanut Butter,,tcp_ping,google_dns,32.21750000011525,True,,,2026-05-10 02:20:39.277486+00:00
